Symbol,Description,Quandlcode,premium_code
JPM,JPMorgan Chase & Co.,WIKI/JPM,EOD/JPM
JNPR,Juniper Networks,WIKI/JNPR,EOD/JNPR
KSU,Kansas City Southern,WIKI/KSU,EOD/KSU
K,Kellogg Co.,WIKI/K,EOD/K
KEY,KeyCorp,WIKI/KEY,EOD/KEY
GMCR,Keurig Green Mountain,WIKI/GMCR,EOD/GMCR
KMB,Kimberly-Clark,WIKI/KMB,EOD/KMB
KIM,Kimco Realty,WIKI/KIM,EOD/KIM
KMI,Kinder Morgan,WIKI/KMI,EOD/KMI
KLAC,KLA-Tencor Corp.,WIKI/KLAC,EOD/KLAC
KSS,Kohl's Corp.,WIKI/KSS,EOD/KSS
KHC,Kraft Heinz Co,WIKI/KHC,EOD/KHC
KR,Kroger Co.,WIKI/KR,EOD/KR
LB,L Brands Inc.,WIKI/LB,EOD/LB
LLL,L-3 Communications Holdings,WIKI/LLL,EOD/LLL
LH,Laboratory Corp. of America Holding,WIKI/LH,EOD/LH
LRCX,Lam Research,WIKI/LRCX,EOD/LRCX
LM,Legg Mason,WIKI/LM,EOD/LM
LEG,Leggett & Platt,WIKI/LEG,EOD/LEG
LEN,Lennar Corp.,WIKI/LEN,EOD/LEN
LVLT,Level 3 Communications,WIKI/LVLT,EOD/LVLT
LUK,Leucadia National Corp.,WIKI/LUK,EOD/LUK
LLY,Lilly (Eli) & Co.,WIKI/LLY,EOD/LLY
LNC,Lincoln National,WIKI/LNC,EOD/LNC
LLTC,Linear Technology Corp.,WIKI/LLTC,EOD/LLTC
LMT,Lockheed Martin Corp.,WIKI/LMT,EOD/LMT
L,Loews Corp.,WIKI/L,EOD/L
LOW,Lowe's Cos.,WIKI/LOW,EOD/LOW
LYB,LyondellBasell,WIKI/LYB,EOD/LYB
MTB,M&T Bank Corp.,WIKI/MTB,EOD/MTB
MAC,Macerich,WIKI/MAC,EOD/MAC
M,Macy's Inc.,WIKI/M,EOD/M
MNK,Mallinckrodt Plc,WIKI/MNK,EOD/MNK
MRO,Marathon Oil Corp.,WIKI/MRO,EOD/MRO
MPC,Marathon Petroleum,WIKI/MPC,EOD/MPC
MAR,Marriott Int'l.,WIKI/MAR,EOD/MAR
MMC,Marsh & McLennan,WIKI/MMC,EOD/MMC
MLM,Martin Marietta Materials,WIKI/MLM,EOD/MLM
MAS,Masco Corp.,WIKI/MAS,EOD/MAS
MA,Mastercard Inc.,WIKI/MA,EOD/MA
MAT,Mattel Inc.,WIKI/MAT,EOD/MAT
MKC,McCormick & Co.,WIKI/MKC,EOD/MKC
MCD,McDonald's Corp.,WIKI/MCD,EOD/MCD
MHFI,McGraw Hill Financial,WIKI/MHFI,EOD/MHFI
MCK,McKesson Corp.,WIKI/MCK,EOD/MCK
MJN,Mead Johnson,WIKI/MJN,EOD/MJN
WRK,Westrock Co,WIKI/WRK,EOD/WRK
MDT,Medtronic plc,WIKI/MDT,EOD/MDT
MRK,Merck & Co.,WIKI/MRK,EOD/MRK
MET,MetLife Inc.,WIKI/MET,EOD/MET
KORS,Michael Kors Holdings,WIKI/KORS,EOD/KORS
MCHP,Microchip Technology,WIKI/MCHP,EOD/MCHP
MU,Micron Technology,WIKI/MU,EOD/MU
MSFT,Microsoft Corp.,WIKI/MSFT,EOD/MSFT
MHK,Mohawk Industries,WIKI/MHK,EOD/MHK
TAP,Molson Coors Brewing Company,WIKI/TAP,EOD/TAP
MDLZ,Mondelez International,WIKI/MDLZ,EOD/MDLZ
MON,Monsanto Co.,WIKI/MON,EOD/MON
MNST,Monster Beverage,WIKI/MNST,EOD/MNST
MCO,Moody's Corp,WIKI/MCO,EOD/MCO
MS,Morgan Stanley,WIKI/MS,EOD/MS
MOS,The Mosaic Company,WIKI/MOS,EOD/MOS
MSI,Motorola Solutions Inc.,WIKI/MSI,EOD/MSI
MUR,Murphy Oil,WIKI/MUR,EOD/MUR
MYL,Mylan N.V.,WIKI/MYL,EOD/MYL
NDAQ,NASDAQ OMX Group,WIKI/NDAQ,EOD/NDAQ
NOV,National Oilwell Varco Inc.,WIKI/NOV,EOD/NOV
NAVI,Navient,WIKI/NAVI,EOD/NAVI
NTAP,NetApp,WIKI/NTAP,EOD/NTAP
NFLX,Netflix Inc.,WIKI/NFLX,EOD/NFLX
NWL,Newell Rubbermaid Co.,WIKI/NWL,EOD/NWL
NFX,Newfield Exploration Co,WIKI/NFX,EOD/NFX
NEM,Newmont Mining Corp. (Hldg. Co.),WIKI/NEM,EOD/NEM
NWSA,News Corp. Class A,WIKI/NWSA,EOD/NWSA
NWS,News Corp. Class B,WIKI/NWS,EOD/NWS
NEE,NextEra Energy,WIKI/NEE,EOD/NEE
NLSN,Nielsen Holdings,WIKI/NLSN,EOD/NLSN
NKE,Nike,WIKI/NKE,EOD/NKE
NI,NiSource Inc.,WIKI/NI,EOD/NI
NBL,Noble Energy Inc,WIKI/NBL,EOD/NBL
JWN,Nordstrom,WIKI/JWN,EOD/JWN
NSC,Norfolk Southern Corp.,WIKI/NSC,EOD/NSC
NTRS,Northern Trust Corp.,WIKI/NTRS,EOD/NTRS
NOC,Northrop Grumman Corp.,WIKI/NOC,EOD/NOC
NRG,NRG Energy,WIKI/NRG,EOD/NRG
NUE,Nucor Corp.,WIKI/NUE,EOD/NUE
NVDA,Nvidia Corporation,WIKI/NVDA,EOD/NVDA
ORLY,O'Reilly Automotive,WIKI/ORLY,EOD/ORLY
OXY,Occidental Petroleum,WIKI/OXY,EOD/OXY
OMC,Omnicom Group,WIKI/OMC,EOD/OMC
OKE,ONEOK,WIKI/OKE,EOD/OKE
ORCL,Oracle Corp.,WIKI/ORCL,EOD/ORCL
OI,Owens-Illinois Inc,WIKI/OI,EOD/OI
PCAR,PACCAR Inc.,WIKI/PCAR,EOD/PCAR
PH,Parker-Hannifin,WIKI/PH,EOD/PH
PDCO,Patterson Companies,WIKI/PDCO,EOD/PDCO
PAYX,Paychex Inc.,WIKI/PAYX,EOD/PAYX
PYPL,PayPal,WIKI/PYPL,EOD/PYPL
PNR,Pentair Ltd.,WIKI/PNR,EOD/PNR
PBCT,People's United Financial,WIKI/PBCT,EOD/PBCT
POM,Pepco Holdings Inc.,WIKI/POM,EOD/POM
PEP,PepsiCo Inc.,WIKI/PEP,EOD/PEP
PKI,PerkinElmer,WIKI/PKI,EOD/PKI
PRGO,Perrigo,WIKI/PRGO,EOD/PRGO
PFE,Pfizer Inc.,WIKI/PFE,EOD/PFE
PCG,PG&E Corp.,WIKI/PCG,EOD/PCG
PM,Philip Morris International,WIKI/PM,EOD/PM
PSX,Phillips 66,WIKI/PSX,EOD/PSX
PNW,Pinnacle West Capital,WIKI/PNW,EOD/PNW
PXD,Pioneer Natural Resources,WIKI/PXD,EOD/PXD
PBI,Pitney-Bowes,WIKI/PBI,EOD/PBI
PCL,Plum Creek Timber Co.,WIKI/PCL,EOD/PCL
PNC,PNC Financial Services,WIKI/PNC,EOD/PNC
RL,Polo Ralph Lauren Corp.,WIKI/RL,EOD/RL
PPG,PPG Industries,WIKI/PPG,EOD/PPG
PPL,PPL Corp.,WIKI/PPL,EOD/PPL
PX,Praxair Inc.,WIKI/PX,EOD/PX
PCP,Precision Castparts,WIKI/PCP,EOD/PCP
PCLN,Priceline.com Inc,WIKI/PCLN,EOD/PCLN
PFG,Principal Financial Group,WIKI/PFG,EOD/PFG
PG,Procter & Gamble,WIKI/PG,EOD/PG
PGR,Progressive Corp.,WIKI/PGR,EOD/PGR
PLD,Prologis,WIKI/PLD,EOD/PLD
PRU,Prudential Financial,WIKI/PRU,EOD/PRU
PEG,Public Serv. Enterprise Inc.,WIKI/PEG,EOD/PEG
PSA,Public Storage,WIKI/PSA,EOD/PSA
PHM,Pulte Homes Inc.,WIKI/PHM,EOD/PHM
PVH,PVH Corp.,WIKI/PVH,EOD/PVH
QRVO,Qorvo,WIKI/QRVO,EOD/QRVO
PWR,Quanta Services Inc.,WIKI/PWR,EOD/PWR
QCOM,QUALCOMM Inc.,WIKI/QCOM,EOD/QCOM
DGX,Quest Diagnostics,WIKI/DGX,EOD/DGX
RRC,Range Resources Corp.,WIKI/RRC,EOD/RRC
RTN,Raytheon Co.,WIKI/RTN,EOD/RTN
O,Realty Income Corporation,WIKI/O,EOD/O
RHT,Red Hat Inc.,WIKI/RHT,EOD/RHT
REGN,Regeneron,WIKI/REGN,EOD/REGN
RF,Regions Financial Corp.,WIKI/RF,EOD/RF
RSG,Republic Services Inc,WIKI/RSG,EOD/RSG
RAI,Reynolds American Inc.,WIKI/RAI,EOD/RAI
RHI,Robert Half International,WIKI/RHI,EOD/RHI
ROK,Rockwell Automation Inc.,WIKI/ROK,EOD/ROK
COL,Rockwell Collins,WIKI/COL,EOD/COL
ROP,Roper Industries,WIKI/ROP,EOD/ROP
ROST,Ross Stores,WIKI/ROST,EOD/ROST
RCL,Royal Caribbean Cruises Ltd,WIKI/RCL,EOD/RCL
R,Ryder System,WIKI/R,EOD/R
CRM,Salesforce.com,WIKI/CRM,EOD/CRM
SNDK,SanDisk Corporation,WIKI/SNDK,EOD/SNDK
SCG,SCANA Corp,WIKI/SCG,EOD/SCG
SLB,Schlumberger Ltd.,WIKI/SLB,EOD/SLB
SNI,Scripps Networks Interactive Inc.,WIKI/SNI,EOD/SNI
STX,Seagate Technology,WIKI/STX,EOD/STX
SEE,Sealed Air Corp.(New),WIKI/SEE,EOD/SEE
SRE,Sempra Energy,WIKI/SRE,EOD/SRE
SHW,Sherwin-Williams,WIKI/SHW,EOD/SHW
SIAL,Sigma-Aldrich,WIKI/SIAL,EOD/SIAL
SIG,Signet Jewelers,WIKI/SIG,EOD/SIG
SPG,Simon Property Group Inc,WIKI/SPG,EOD/SPG
SWKS,Skyworks Solutions,WIKI/SWKS,EOD/SWKS
SLG,SL Green Realty,WIKI/SLG,EOD/SLG
SJM,Smucker (J.M.),WIKI/SJM,EOD/SJM
SNA,Snap-On Inc.,WIKI/SNA,EOD/SNA
SO,Southern Co.,WIKI/SO,EOD/SO
LUV,Southwest Airlines,WIKI/LUV,EOD/LUV
SWN,Southwestern Energy,WIKI/SWN,EOD/SWN
SE,Spectra Energy Corp.,WIKI/SE,EOD/SE
STJ,St Jude Medical,WIKI/STJ,EOD/STJ
SWK,Stanley Black & Decker,WIKI/SWK,EOD/SWK
SPLS,Staples Inc.,WIKI/SPLS,EOD/SPLS
SBUX,Starbucks Corp.,WIKI/SBUX,EOD/SBUX
HOT,Starwood Hotels & Resorts,WIKI/HOT,EOD/HOT
STT,State Street Corp.,WIKI/STT,EOD/STT
SRCL,Stericycle Inc,WIKI/SRCL,EOD/SRCL
SYK,Stryker Corp.,WIKI/SYK,EOD/SYK
STI,SunTrust Banks,WIKI/STI,EOD/STI
SYMC,Symantec Corp.,WIKI/SYMC,EOD/SYMC
SYY,Sysco Corp.,WIKI/SYY,EOD/SYY
TROW,T. Rowe Price Group,WIKI/TROW,EOD/TROW
TGT,Target Corp.,WIKI/TGT,EOD/TGT
TEL,TE Connectivity Ltd.,WIKI/TEL,EOD/TEL
TE,TECO Energy,WIKI/TE,EOD/TE
TGNA,Tegna,WIKI/TGNA,EOD/TGNA
THC,Tenet Healthcare Corp.,WIKI/THC,EOD/THC
TDC,Teradata Corp.,WIKI/TDC,EOD/TDC
TSO,Tesoro Petroleum Co.,WIKI/TSO,EOD/TSO
TXN,Texas Instruments,WIKI/TXN,EOD/TXN
TXT,Textron Inc.,WIKI/TXT,EOD/TXT
HSY,The Hershey Company,WIKI/HSY,EOD/HSY
TRV,The Travelers Companies Inc.,WIKI/TRV,EOD/TRV
TMO,Thermo Fisher Scientific,WIKI/TMO,EOD/TMO
TIF,Tiffany & Co.,WIKI/TIF,EOD/TIF
TWX,Time Warner Inc.,WIKI/TWX,EOD/TWX
TWC,Time Warner Cable Inc.,WIKI/TWC,EOD/TWC
TJX,TJX Companies Inc.,WIKI/TJX,EOD/TJX
TMK,Torchmark Corp.,WIKI/TMK,EOD/TMK
TSS,Total System Services,WIKI/TSS,EOD/TSS
TSCO,Tractor Supply Company,WIKI/TSCO,EOD/TSCO
RIG,Transocean,WIKI/RIG,EOD/RIG
TRIP,TripAdvisor,WIKI/TRIP,EOD/TRIP
FOXA,Twenty-First Century Fox Class A,WIKI/FOXA,EOD/FOXA
FOX,Twenty-First Century Fox Class B,WIKI/FOX,EOD/FOX
TSN,Tyson Foods,WIKI/TSN,EOD/TSN
TYC,Tyco International,WIKI/TYC,EOD/TYC
USB,U.S. Bancorp,WIKI/USB,EOD/USB
